stop_id,stop_name
2860697,Aachen Hbf
2860716,Arkel
2860887,Amsterdam Lelylaan
2860888,Amsterdam Lelylaan
2860938,Amsterdam Science Park
2860939,Amsterdam Science Park
2860942,Aalten
2860943,Aalten
2860947,Antwerpen-Luchtbal
2860956,Aachen West
2860993,Antwerpen-Berchem
2861020,Bad Bentheim
2861141,Boskoop Snijdelwijk
2861203,Driebergen-Zeist
2861204,Driebergen-Zeist
2861315,Duisburg Hbf
2861400,Eijsden
2861401,Eijsden
2861467,Emmerich
2861482,Metelen Land
2861488,Nordwalde
2861492,Praest
2861652,Grijpskerk
2861653,Grijpskerk
2861806,Hengelo
2861807,Hengelo
2861808,Hengelo
2861809,Hengelo
2861810,Hengelo
2861811,Hengelo
2861812,Hengelo
2861815,Hengelo Gezondheidspark
2861981,Hoevelaken
2861982,Hoevelaken
2862010,Herzogenrath
2862017,IJlst
2862212,Loppersum
2862213,Loppersum
2862299,Mook-Molenhoek
2862300,Mook-Molenhoek
2862360,Noorderkempen
2862364,Neuss Hbf
2862432,Oberhausen Hbf
2862811,Terborg
2862812,Terborg
2862913,Utrecht Leidsche Rijn
2862914,Utrecht Leidsche Rijn
2862917,Utrecht Maliebaan
2862971,Viersen
2863049,Waddinxveen Triangel
2863073,Wesel
2863131,Wuppertal Hbf
2863133,Wuppertal-Vohwinkel
2863250,Zandvoort aan Zee
2863251,Zandvoort aan Zee
2991991,Abcoude
2991992,Abcoude
2991994,Airport Charles de Gaulle
2992012,Arnhem Velperpoort
2992013,Arnhem Velperpoort
2992016,Arnhem Presikhaaf
2992017,Arnhem Presikhaaf
2992020,Arnhem Zuid
2992021,Arnhem Zuid
2992028,Akkrum
2992029,Akkrum
2992041,Almere Buiten
2992042,Almere Buiten
2992046,Almere Muziekwijk
2992047,Almere Muziekwijk
2992053,Almere Oostvaarders
2992054,Almere Oostvaarders
2992055,Almere Oostvaarders
2992056,Almere Oostvaarders
2992060,Almere Parkwijk
2992061,Almere Parkwijk
2992065,Amersfoort Centraal
2992066,Amersfoort Centraal
2992069,Amersfoort Centraal
2992070,Amersfoort Centraal
2992071,Amersfoort Centraal
2992073,Amersfoort Centraal
2992074,Amersfoort Centraal
2992075,Amersfoort Centraal
2992078,Amersfoort Centraal
2992081,Amersfoort Schothorst
2992082,Amersfoort Schothorst
2992083,Amersfoort Schothorst
2992087,Almelo
2992088,Almelo
2992089,Almelo
2992090,Almelo
2992092,Almelo
2992093,Almelo
2992094,Almelo
2992103,Alkmaar
2992104,Alkmaar
2992105,Alkmaar
2992106,Alkmaar
2992107,Alkmaar
2992110,Almelo de Riet
2992111,Almelo de Riet
2992114,Alkmaar Noord
2992115,Alkmaar Noord
2992123,Antwerpen-Noorderdokken
2992133,Apeldoorn De Maten
2992136,Apeldoorn Osseveld
2992137,Apeldoorn Osseveld
2992140,Appingedam
2992141,Appingedam
2992144,Alphen a/d Rijn
2992145,Alphen a/d Rijn
2992146,Alphen a/d Rijn
2992154,Amsterdam Amstel
2992155,Amsterdam Amstel
2992168,Amsterdam Centraal
2992169,Amsterdam Centraal
2992170,Amsterdam Centraal
2992171,Amsterdam Centraal
2992178,Amsterdam Centraal
2992179,Amsterdam Centraal
2992181,Amsterdam Centraal
2992182,Amsterdam Centraal
2992183,Amsterdam Centraal
2992184,Amsterdam Centraal
