stop_id,stop_name,stop_lat,stop_lon
2860212,[Groningen Europapark] OV Halte Helperpark,53.204761,6.587014
2860213,[Amersfoort Centraal] Bushalte bij taxistandplaats,52.152979,5.374667
2860223,[Utrecht Lunetten] OV halte Furkaplateau,52.065876,5.14312
2860229,[Delft Campus] Marcellus Emantspad,51.990748,4.364164
2860230,[Delft Campus] Forensenweg,51.990632,4.364269
2860256,"[Goes] Achterzijde station, Stationspark",51.497642,3.890646
2860259,"[Grou-Jirnsum] Voorzijde station, Stationsweg",53.090235,5.822267
2860273,"[Hilversum] voorzijde station, Schapenkamp",52.22639,5.179871
2860274,"[Hilversum] OHR - Uitstaphalte Voorzijde station, Schapenkamp",52.225986,5.180151
2860277,"[Schagen] Voorplein Station, Stationsweg",52.785301,4.804862
2860279,"[Driehuis] Voorplein station, van den Vondellaan",52.443105,4.639021
2860292,[Geldermalsen] OV Halte Burg. Roozeveld van der Venlaan,51.881714,5.270781
2860294,"[Den Helder] Voorplein Station, Middenweg",52.956976,4.760992
2860310,"[Rotterdam Noord] Onder viaduct A20, Bergweg",51.941779,4.481719
2860314,"[Hoogeveen] Voorzijde station, P&R, Parkeerplaats",52.73256,6.472864
2860315,"[Hoogeveen] Voorzijde station, P&R, Parkeerplaats",52.732666,6.473044
2860316,"[Hoogeveen] Voorzijde station, busstation (lange zijde)",52.732906,6.47339
2860318,"[Rotterdam Centraal] Centrumzijde, busstation Conradstraat halte EE",51.92368,4.46724
2860324,"[Almere Oostvaarders] Voorzijde station, busstrook Ambonstraat",52.402825,5.301714
2860331,"[Breda] Belcrumzijde station, Stationslaan",51.596443,4.778863
2860332,"[Beverwijk] OV halte, Stationsplein",52.477851,4.654772
2860340,[Diemen] Bushalte Ouddiemerlaan,52.345483,4.967771
2860343,"[Castricum] Voorzijde station, OV halte, Stationsweg",52.545752,4.659144
2860349,[Alkmaar] OHR Voorkant station t.h.v. AH,52.637499,4.740518
2860353,[Baarn] OHR - Uitstaphalte OV halte Stationsplein,52.208352,5.282131
2860354,[Baarn] OV halte Stationsplein,52.208352,5.282131
2860357,"[Amsterdam Science Park] Voorzijde station, OV halte Kruislaan",52.352348,4.9477
2860364,"[Santpoort Zuid] Voorzijde station, Willem de Zwijgerlaan",52.419362,4.63094
2860366,"[Roosendaal] Voorzijde station, Stationsplein",51.540419,4.459341
2860372,[Meppel] Meppel busstation halte F,52.691472,6.197272
2860373,[Meppel] P&R (grote verbussingen),52.690386,6.197015
2860374,"[Den Haag HS] Achterzijde station, Waldorpstraat",52.068609,4.322625
2860386,[Arnemuiden] Stationsplein,51.50132,3.669907
2860392,"[Zwolle] Zuidzijde, Hanzelaan",52.503808,6.089477
2860394,"[Zwolle] Zuidzijde, Hanzelaan",52.503729,6.090639
2860397,"[Lelystad Centrum] Achterzijde station, Stationslaan",52.508113,5.472222
2860419,[Tiel] NS bushalte Stationsweg,51.889721,5.423954
2860423,"[Almere Buiten] Achterzijde station, ov-halte Poolcirkelstraat",52.393414,5.278461
2860424,"[Zaltbommel] Voorzijde station, Oude stationsweg",51.807597,5.26291
2860425,"[Almere Parkwijk] Voorzijde station, Busstation halte A",52.37677,5.245004
2860427,"[Leiden Centraal] Voorzijde station, Bushalte G/H, Stationsplein",52.165399,4.482081
2860428,"[Abcoude] Voorplein Station, OV halte, Spoorlaan",52.278645,4.976665
2860429,"[Lage Zwaluwe] Voorzijde station, Westelijke Parallelweg",51.689688,4.662793
2860432,[Rotterdam Alexander] OV halte Prins Alexanderlaan,51.952208,4.551248
2860434,"[Weert] Busstation, Stationsplein",51.249018,5.705035
2860440,"[Anna Paulowna] Voorzijde station, Bushalte, Stationsweg",52.867671,4.811784
2860444,[Houten] OV bushalte De Molen,52.032888,5.169852
2860456,"[Alkmaar Noord] Voorplein Station, OV halte, Drechterwaard",52.643895,4.763562
2860472,[Weesp] Weesp P+R,52.313022,5.043996
2860473,"[Weesp] Achterzijde station, rotonde Leeuwenveldseweg",52.312376,5.044529
2860474,"[Wolvega] Voorzijde station, Stationsweg",52.879517,6.005061
2860476,[Nijmegen Dukenburg] OV halte busstation Spijkerhofplein,51.823229,5.793281
2860478,"[Boxtel] Achterzijde station, van Salmstraat",51.582904,5.318265
2860484,[Nijmegen Lent] Hertog Eduartplein,51.862255,5.860849
2860495,"[Heerenveen] Voorzijde station, Trambaan",52.96037,5.917093
2860502,"[Amsterdam Muiderpoort] OV halte, Insulindeweg Noordzijde",52.361336,4.933532
2860510,"[Dordrecht Zuid] Parkeerplaats BeneVia Muziekcentrum, Spirea",51.791127,4.671732
2860524,[Roermond] Godsweerdersingel,51.192942,5.993029
2860536,"[Oudenbosch] Voorzijde station, Stationsstraat",51.587839,4.53286
2860542,"[Leeuwarden] halte U, overkant busstation",53.196816,5.791497
2860545,[Amsterdam Sloterdijk] Radarweg West,52.389539,4.835922
2860551,"[Amsterdam Bijlmer ArenA] Busstation, Hoogoordplein, Halte K",52.311067,4.947537
2860555,"[Amsterdam Centraal] Busstation IJ-Zijde, Bushalte M",52.380021,4.899371
2860559,"[Assen] NS bushalte, Busstation (uitstaphalte OV)",52.991425,6.570659
